2016-01-04,buy,1700,AAPL
2016-01-05,buy,16500,MSFT
2016-01-06,buy,5900,AAPL
2016-01-07,buy,300,GOOG
2016-01-08,sell,2900,AAPL
2016-01-11,buy,1400,AAPL
2016-01-12,sell,12500,MSFT
2016-01-13,buy,1100,GOOG
2016-01-14,sell,800,GOOG
2016-01-15,sell,100,GOOG
2016-01-19,sell,4800,AAPL
2016-01-20,buy,500,GOOG
2016-01-21,buy,7200,MSFT
2016-01-25,sell,500,AAPL
2016-01-26,sell,400,AAPL
2016-01-27,sell,4600,MSFT
2016-01-28,buy,14700,MSFT
2016-01-29,sell,3000,MSFT
2016-02-02,sell,900,GOOG
2016-02-04,buy,500,GOOG
2016-02-05,sell,400,GOOG
2016-02-08,buy,10500,MSFT
2016-02-09,sell,300,AAPL
2016-02-10,sell,20100,MSFT
2016-02-11,buy,4300,MSFT
2016-02-12,buy,700,GOOG
2016-02-16,sell,400,GOOG
2016-02-17,sell,100,GOOG
2016-02-18,sell,5900,MSFT
2016-02-19,buy,5000,AAPL
2016-02-22,buy,200,GOOG
2016-02-23,buy,600,GOOG
2016-02-24,buy,1000,AAPL
2016-02-25,sell,5100,AAPL
2016-02-26,sell,5700,MSFT
2016-02-29,sell,500,AAPL
2016-03-01,buy,700,GOOG
2016-03-02,sell,200,GOOG
2016-03-03,sell,200,GOOG
2016-03-04,sell,200,AAPL
2016-03-07,sell,700,MSFT
2016-03-09,buy,300,GOOG
2016-03-10,sell,200,AAPL
2016-03-14,buy,6400,MSFT
2016-03-15,sell,5200,MSFT
2016-03-16,sell,300,MSFT
2016-03-17,buy,9200,MSFT
2016-03-21,sell,3100,MSFT
2016-03-23,sell,100,GOOG
2016-03-24,sell,300,GOOG
2016-03-28,buy,7600,MSFT
2016-03-29,sell,5700,MSFT
2016-03-30,sell,800,GOOG
2016-03-31,buy,5300,AAPL
2016-04-01,sell,1900,AAPL
2016-04-04,sell,3400,AAPL
2016-04-06,buy,100,GOOG
2016-04-08,sell,2400,MSFT
2016-04-12,sell,500,GOOG
2016-04-13,buy,27200,MSFT
2016-04-14,sell,19300,MSFT
2016-04-15,buy,19400,MSFT
2016-04-19,sell,8900,MSFT
2016-04-22,sell,100,GOOG
2016-04-26,sell,9800,MSFT
2016-04-27,sell,12300,MSFT
2016-04-28,buy,13500,MSFT
2016-04-29,buy,16800,MSFT
2016-05-02,buy,2200,MSFT
2016-05-03,buy,800,AAPL
2016-05-05,sell,700,AAPL
2016-05-10,sell,23400,MSFT
2016-05-12,sell,11300,MSFT
2016-05-13,buy,400,GOOG
2016-05-16,buy,3800,AAPL
2016-05-17,sell,300,GOOG
2016-05-18,buy,1900,GOOG
2016-05-19,sell,1600,GOOG
2016-05-20,buy,1500,GOOG
2016-05-23,sell,300,MSFT
2016-05-25,sell,1100,GOOG
2016-05-26,buy,6200,AAPL
2016-05-27,sell,500,AAPL
