2016-01-04,buy,200,AAPL
2016-01-05,buy,1500,AAPL
2016-01-07,buy,50,GOOG
2016-01-08,buy,100,MSFT
2016-01-15,buy,50,GOOG
2016-01-19,buy,50,GOOG
2016-01-20,sell,350,AAPL
2016-02-01,buy,550,MSFT
2016-02-03,sell,600,MSFT
2016-02-11,buy,600,AAPL
2016-02-12,buy,1150,MSFT
2016-02-22,sell,100,MSFT
2016-02-24,buy,50,AAPL
2016-02-25,buy,150,AAPL
2016-03-01,buy,150,MSFT
2016-03-04,sell,50,GOOG
2016-03-07,sell,100,MSFT
2016-03-16,sell,950,MSFT
2016-03-29,buy,800,MSFT
2016-04-20,sell,700,AAPL
2016-04-21,buy,1850,MSFT
2016-05-05,sell,750,MSFT
2016-05-06,sell,350,AAPL
2016-05-13,buy,250,AAPL
2016-05-17,sell,1450,MSFT
2016-05-18,buy,1550,MSFT
2016-05-19,buy,250,MSFT
2016-05-20,sell,1500,MSFT
2016-05-23,buy,550,AAPL
2016-06-02,sell,50,GOOG
2016-06-08,buy,950,MSFT
2016-06-24,sell,50,AAPL
2016-07-11,sell,350,AAPL
2016-07-13,buy,800,AAPL
2016-07-14,buy,50,MSFT
2016-07-18,sell,2000,AAPL
2016-08-17,sell,100,MSFT
2016-08-19,buy,100,GOOG
2016-08-22,sell,100,MSFT
2016-08-23,buy,100,GOOG
2016-08-25,sell,50,AAPL
2016-09-01,sell,650,MSFT
2016-09-20,buy,1850,MSFT
2016-09-23,sell,700,MSFT
2016-09-26,buy,1050,MSFT
2016-09-29,sell,100,AAPL
2016-10-03,sell,150,GOOG
2016-10-14,buy,250,AAPL
2016-10-17,buy,100,MSFT
2016-10-19,sell,50,AAPL
2016-10-20,buy,50,GOOG
2016-10-27,sell,150,MSFT
2016-10-28,buy,1150,MSFT
2016-11-10,sell,200,AAPL
2016-11-17,sell,4350,MSFT
2016-11-23,buy,1200,MSFT
2016-11-29,buy,800,MSFT
2016-11-30,sell,250,MSFT
2016-12-19,sell,650,MSFT
2016-12-21,buy,1350,MSFT
2016-12-23,sell,100,GOOG
2016-12-27,buy,1450,MSFT
2016-12-28,sell,100,AAPL
