2016-01-08,buy,1800,MSFT
2016-01-20,sell,425,MSFT
2016-01-25,buy,375,AAPL
2016-01-28,buy,150,AAPL
2016-01-29,sell,375,AAPL
2016-02-04,buy,225,AAPL
2016-02-11,buy,25,GOOG
2016-02-12,buy,300,AAPL
2016-02-16,buy,100,AAPL
2016-02-24,buy,150,AAPL
2016-03-07,sell,1075,MSFT
2016-03-09,sell,850,AAPL
2016-03-23,buy,1375,MSFT
2016-03-28,sell,50,AAPL
2016-04-07,buy,25,GOOG
2016-04-29,buy,625,MSFT
2016-05-05,sell,25,GOOG
2016-05-10,sell,825,MSFT
2016-05-20,buy,300,AAPL
2016-05-23,sell,375,MSFT
2016-05-31,buy,75,MSFT
2016-06-06,buy,100,AAPL
2016-06-15,buy,25,GOOG
2016-06-21,buy,125,AAPL
2016-06-24,sell,100,AAPL
2016-06-29,sell,350,AAPL
2016-07-01,sell,25,AAPL
2016-07-07,sell,300,MSFT
2016-07-11,sell,825,MSFT
2016-07-13,buy,225,AAPL
2016-07-15,sell,25,MSFT
2016-07-18,buy,275,AAPL
2016-07-20,buy,450,MSFT
2016-07-21,sell,25,GOOG
2016-07-27,buy,600,MSFT
2016-07-28,buy,250,AAPL
2016-08-01,sell,950,MSFT
2016-08-05,sell,650,AAPL
2016-08-18,buy,75,GOOG
2016-08-26,sell,125,AAPL
2016-08-29,sell,50,GOOG
2016-09-01,buy,25,GOOG
2016-09-06,buy,25,GOOG
2016-09-08,buy,325,MSFT
2016-09-09,buy,100,AAPL
2016-09-13,sell,125,AAPL
2016-09-15,sell,300,MSFT
2016-09-26,buy,25,GOOG
2016-10-03,buy,375,AAPL
2016-10-07,buy,150,AAPL
2016-10-10,sell,25,GOOG
2016-10-13,sell,250,AAPL
2016-10-18,sell,75,GOOG
2016-10-19,sell,50,AAPL
2016-10-21,buy,525,MSFT
2016-10-24,buy,725,MSFT
2016-10-28,buy,500,MSFT
2016-11-08,sell,850,MSFT
2016-11-10,buy,500,MSFT
2016-11-14,buy,350,MSFT
2016-11-15,buy,275,MSFT
2016-11-21,sell,150,AAPL
2016-11-23,buy,200,AAPL
2016-11-25,sell,300,MSFT
2016-12-12,sell,1775,MSFT
2016-12-20,buy,75,AAPL
2016-12-21,buy,600,AAPL
2016-12-23,sell,125,AAPL
2016-12-29,buy,225,MSFT
